file,pages,chars,chars_per_page,empty_frac,class,note
КР630_2.pdf,38,38546,1014.4,0.079,OK,
КР733_2.pdf,24,24395,1016.5,0.0,OK,
КР848_1.pdf,43,43789,1018.3,0.023,OK,
КР775_1.pdf,53,54159,1021.9,0.038,OK,
КР996_1.pdf,18,18585,1032.5,0.111,OK,
КР185_3.pdf,42,43620,1038.6,0.024,OK,
КР985_1.pdf,21,21881,1042.0,0.0,OK,
КР174_3.pdf,44,45872,1042.5,0.114,OK,
КР220_2.pdf,22,22988,1044.9,0.045,OK,
КР781_1.pdf,23,24167,1050.7,0.043,OK,
КР627_3.pdf,98,105972,1081.3,0.031,OK,
КР776_1.pdf,48,51988,1083.1,0.021,OK,
КР790_1.pdf,62,67191,1083.7,0.129,OK,
КР274_3.pdf,48,52302,1089.6,0.083,OK,
КР75_2.pdf,62,67712,1092.1,0.032,OK,
КР224_2.pdf,28,30592,1092.6,0.071,OK,
КР1038_1.pdf,49,53584,1093.6,0.041,OK,
КР976_1.pdf,30,32868,1095.6,0.033,OK,
КР920_1.pdf,25,27877,1115.1,0.04,OK,
КР212_2.pdf,30,33625,1120.8,0.067,OK,
КР663_2.pdf,28,31482,1124.4,0.036,OK,
КР803_1.pdf,46,51920,1128.7,0.043,OK,
КР34_3.pdf,48,54672,1139.0,0.042,OK,
КР581_2.pdf,34,38968,1146.1,0.029,OK,
КР177_5.pdf,56,64437,1150.7,0.0,OK,
КР684_2.pdf,76,87489,1151.2,0.013,OK,
КР755_1.pdf,45,51813,1151.4,0.044,OK,
КР215_3.pdf,33,38080,1153.9,0.03,OK,
КР284_2.pdf,73,84278,1154.5,0.041,OK,
КР935_1.pdf,30,34723,1157.4,0.067,OK,
КР645_2.pdf,48,55707,1160.6,0.021,OK,
КР765_1.pdf,26,30272,1164.3,0.0,OK,
КР315_4.pdf,51,59798,1172.5,0.059,OK,
КР764_1.pdf,32,37945,1185.8,0.0,OK,
КР702_2.pdf,46,54708,1189.3,0.043,OK,
КР792_1.pdf,25,29822,1192.9,0.04,OK,
КР259_2.pdf,62,74132,1195.7,0.065,OK,
КР712_2.pdf,56,67088,1198.0,0.0,OK,
КР766_1.pdf,57,68406,1200.1,0.018,OK,
КР182_3.pdf,44,52817,1200.4,0.045,OK,
КР686_3.pdf,55,66127,1202.3,0.0,OK,
КР909_1.pdf,31,37347,1204.7,0.065,OK,
КР626_2.pdf,60,72320,1205.3,0.033,OK,
КР710_2.pdf,87,104961,1206.4,0.0,OK,
КР257_2.pdf,46,55603,1208.8,0.022,OK,
КР624_2.pdf,49,59259,1209.4,0.041,OK,
КР907_1.pdf,31,37524,1210.5,0.065,OK,
КР397_3.pdf,61,74168,1215.9,0.0,OK,
КР789_1.pdf,60,72996,1216.6,0.017,OK,
КР172_3.pdf,49,59631,1217.0,0.02,OK,
КР289_2.pdf,49,59661,1217.6,0.02,OK,
КР697_2.pdf,46,56045,1218.4,0.043,OK,
КР719_2.pdf,53,64589,1218.7,0.019,OK,
КР304_2.pdf,31,37808,1219.6,0.065,OK,
КР231_2.pdf,30,36650,1221.7,0.067,OK,
КР986_1.pdf,23,28138,1223.4,0.0,OK,
КР643_2.pdf,49,60120,1226.9,0.041,OK,
КР664_2.pdf,42,51927,1236.4,0.048,OK,
КР71_3.pdf,66,81642,1237.0,0.0,OK,
КР918_1.pdf,36,44553,1237.6,0.0,OK,
КР797_1.pdf,54,67042,1241.5,0.0,OK,
КР917_1.pdf,40,49670,1241.8,0.05,OK,
КР984_1.pdf,45,56001,1244.5,0.022,OK,
КР722_2.pdf,69,86090,1247.7,0.029,OK,
КР597_3.pdf,60,74921,1248.7,0.017,OK,
КР47_3.pdf,57,71194,1249.0,0.018,OK,
КР734_2.pdf,33,41261,1250.3,0.03,OK,
КР786_1.pdf,33,41279,1250.9,0.061,OK,
КР106_2.pdf,49,61406,1253.2,0.041,OK,
КР452_3.pdf,43,53904,1253.6,0.0,OK,
КР991_1.pdf,33,41408,1254.8,0.061,OK,
КР3_2.pdf,68,85400,1255.9,0.044,OK,
КР956_1.pdf,36,45228,1256.3,0.0,OK,
КР774_1.pdf,55,69192,1258.0,0.036,OK,
КР924_1.pdf,50,62948,1259.0,0.12,OK,
КР1013_1.pdf,29,36531,1259.7,0.069,OK,
КР685_2.pdf,73,92078,1261.3,0.014,OK,
КР842_1.pdf,37,46692,1261.9,0.027,OK,
КР828_1.pdf,40,50704,1267.6,0.025,OK,
КР1035_1.pdf,37,47155,1274.5,0.081,OK,
КР17_2.pdf,52,66668,1282.1,0.019,OK,
КР769_1.pdf,71,91148,1283.8,0.014,OK,
КР216_2.pdf,34,43766,1287.2,0.059,OK,
КР309_2.pdf,37,47634,1287.4,0.054,OK,
КР196_2.pdf,38,48955,1288.3,0.026,OK,
КР809_1.pdf,110,142346,1294.1,0.009,OK,
КР947_1.pdf,36,46599,1294.4,0.0,OK,
КР916_1.pdf,40,51878,1297.0,0.05,OK,
КР647_2.pdf,39,50815,1302.9,0.026,OK,
КР683_2.pdf,50,65275,1305.5,0.04,OK,
КР642_2.pdf,60,78403,1306.7,0.017,OK,
КР1007_1.pdf,25,32673,1306.9,0.0,OK,
КР183_3.pdf,61,79891,1309.7,0.033,OK,
КР753_1.pdf,200,262097,1310.5,0.01,OK,
КР811_1.pdf,51,66850,1310.8,0.0,OK,
КР677_1.pdf,56,73595,1314.2,0.0,OK,
КР27_2.pdf,66,86774,1314.8,0.0,OK,
КР768_1.pdf,55,72507,1318.3,0.018,OK,
КР575_3.pdf,47,62074,1320.7,0.043,OK,
КР74_2.pdf,99,130749,1320.7,0.101,OK,
КР779_1.pdf,33,43713,1324.6,0.0,OK,
КР950_1.pdf,34,45115,1326.9,0.029,OK,
КР540_3.pdf,25,33177,1327.1,0.0,OK,
КР800_1.pdf,51,67696,1327.4,0.0,OK,
КР625_2.pdf,51,67761,1328.6,0.02,OK,
КР21_3.pdf,44,58498,1329.5,0.023,OK,
КР695_2.pdf,101,134295,1329.7,0.02,OK,
